Plan,City,State,Zip code entered,County,ISP,Network technology,Municipal network,Download speed (Mbps),Upload speed (Mbps),Data cap (GB),Data overage penalty per 50GB,Price without promotions,Promotional price,Monthly Fee,Term of promo discount (months),Autopay and/or paperless billing discount,Activation fee,Installation fee,Self-install fee (if available),Router rental (monthly),Modem rental (monthly),Wi-Fi router purchase cost,Modem purchase cost,Length requirement (months),Termination fee,Address used,Gross Monthly Cost
"Lafayette, LUS, 100",Lafayette, LA,,Lafayette,Lafayette Utilities System,Fiber,Yes,100,100,,,62.95,56.45,62.95,6,,,50,,9.99,,,,12,,Not applicable,77.10666667
"Los Angeles, AT&T, 100",Los Angeles, CA,90047,Los Angeles,AT&T Internet,Fiber,No,100,100,1000,10,60,50,60,12,,35,99,0,,,,,12,180,1824 W 64th St,71.16666667
"Los Angeles, AT&T, 25",Los Angeles, CA,90062,Los Angeles,AT&T Internet,ADSL,No,25,5,1000,10,60,50,60,12,,35,99,0,,,,,12,180,1854 W 50th St,71.16666667
"Los Angeles, Frontier, 25",Los Angeles, CA,90047,Los Angeles,Frontier,ADSL,No,25,,,,34.99,,34.99,,,,75,,10,,,,1,,1822 W 64th St,51.24
"Los Angeles, Frontier, 45",Los Angeles, CA,90047,Los Angeles,Frontier,ADSL,No,45,,,,44.99,,44.99,,,,40,,10,,,,1,,1823 W 64th St,58.32333333
"Los Angeles, Spectrum, 100",Los Angeles, CA,90011,Los Angeles,Charter,Cable,No,100,,,,65.99,44.99,65.99,12,,,49.99,9.99,,,,,,1,905 E Vernon Ave,70.15583333
"Los Angeles, Spectrum, 30",Los Angeles, CA,90011,Los Angeles,Charter,Cable,No,30,,,,14.99,,14.99,,,,49.99,9.99,,,,,,1,905 E Vernon Ave,19.15583333
"New York NY, Optimum, 200",New York, NY,11226,New York,Optimum by Altice,Cable,No,200,35,,,,44.99,44.99,price for life promotion,,0,59,,0,10,,,,,2412 Cortelyou Road,59.90666667
"New York, BarrierFree, 10",New York, NY,,New York,Barrier Communications,Fiber,No,10,10,,,99,99,99,,,,,,0,10,,,,,Not applicable,109
"New York, Fios, 200",New York, NY,11205,New York,Verizon,Fiber,No,200,200,,,114.99,49.99,114.99,12,10,,99,,12,,,199.99,12,350,140 Washington Ave,135.24
"New York, Fios, 200",New York, NY,11205,New York,Verizon,Fiber,No,200,200,,,114.99,59.99,114.99,36,10,,99,,12,,,199.99,36,350,140 Washington Ave,135.24
"New York, NY, Brooklyn Fiber Basic",New York, NY,,New York,Brooklyn Fiber,Fiber,No,20,10,,,75,,75,,,,0,,,,,,1,,Not applicable,75
"New York, NY, Brooklyn Fiber Pro",New York, NY,,New York,Brooklyn Fiber,Fiber,No,50,25,,,215,,215,,,,0,,,,,,1,,Not applicable,215
"New York, NY, Brooklyn Fiber Speed",New York, NY,,New York,Brooklyn Fiber,Fiber,No,30,20,,,100,,100,,,,0,,,,,,1,,Not applicable,100
"New York, NY, Optimum, 30",New York, NY,,New York,Optimum by Altice,Cable,No,30,3,,,14.99,,14.99,,,,30,,0,0,,,1,,Not applicable,17.49
"New York, RCN, 155",New York, NY,11201,New York,Radiate Holdings,Fiber,No,155,155,,,,29.99,29.99,12,,9.99,49.95,,Included in modem fee,10,,,1,,"195 Adams St, APT 2G",44.985
"New York, Spectrum, 100",New York, NY,10110,New York,Charter,Cable,No,100,10,,,,44.99,44.99,12,,,49.99,9.99,5,0,,,1,,"275 Central Park W, 201",54.15583333
"New York, Spectrum, 200",New York, NY,10027,New York,Charter,Cable,No,200,10,,,65.99,44.99,65.99,12,,,49.99,9.99,5,0,,,1,,"132 W 127th ST, 1",75.15583333
"New York, Spectrum, 30",New York, NY,10034,New York,Charter,Cable,No,30,4,,,14.99,14.99,14.99,,,,49.99,9.99,5,0,,,1,,"109 Sherman Ave, 1",24.15583333
"San Francisco, AT&T, 100",San Francisco, CA,94121,San Francisco,AT&T Internet,Fiber,No,100,100,1000,10,70,50,70,12,,35,99,0,,,,,12,180,378 20th Ave,81.16666667
"San Francisco, AT&T, 18",San Francisco, CA,94110,San Francisco,AT&T Internet,ADSL,No,18,1.5,1000,10,60,50,60,12,,35,99,0,,,,,12,180,3376 23rd St,71.16666667
"San Francisco, i-Step, 10",San Francisco, CA,,San Francisco,i-Step,DSL,No,10,1,,,91,,91,,,,25,,,,,,,,Not applicable,93.08333333
"San Francisco, i-Step, 15",San Francisco, CA,,San Francisco,i-Step,DSL,No,15,1,,,98,,98,,,,25,,,,,,,,Not applicable,100.0833333
"San Francisco, LMi 50",San Francisco, CA,,San Francisco,LMi,ADSL2+,No,50,16,,,49.95,39.95,49.95,12,,,150,,9.5,,,,1,0,Not applicable,71.95
"San Francisco, Race, 25",San Francisco, CA,,San Francisco,Race Communications,Fiber,No,25,25,,,25,,25,,,,,,10,,,,,,Not applicable,35
"San Francisco, Raw, 12",San Francisco, CA,,San Francisco,Raw Bandwidth,ADSL,No,12,1,,,39.95,,39.95,,,50,50,0,,,,,12,15/remaining month,Not applicable,48.28333333
"San Francisco, Raw, 20",San Francisco, CA,,San Francisco,Raw Bandwidth,ADSL,No,20,1.5,,,49.95,,49.95,,,50,50,0,,,,,12,15/remaining month,Not applicable,58.28333333
"San Francisco, Raw, 50",San Francisco, CA,,San Francisco,Raw Bandwidth,VDSL,No,50,5,,,49.95,,49.95,,,50,50,0,,,,,12,15/remaining month,Not applicable,58.28333333
"San Francisco, Wave, 50",San Francisco, CA,94110,San Francisco,WaveDivision Holdings,Cable,No,50,5,300,,49.95,19.95,49.95,12,,,60,,,15,,,1,,3376 23rd St,69.95
"San Francisco, Xfinity, 150A",San Francisco, CA,94109,San Francisco,Comcast,Cable,No,150,5,,,,44.99,44.99,12,,,89.99,15,,13,,,12,,1928 Pine St,65.48916667
"San Francisco, Xfinity, 150B",San Francisco, CA,94109,San Francisco,Comcast,Cable,No,150,5,,,,64.99,64.99,12,,,89.99,15,,13,,,1,,1928 Pine St,85.48916667
"San Francisco, Xfinity, 15A",San Francisco, CA,94109,San Francisco,Comcast,Cable,No,15,2,,,,29.99,29.99,12,,,89.99,15,,13,,,12,,1928 Pine St,50.48916667
"San Francisco, Xfinity, 15B",San Francisco, CA,94109,San Francisco,Comcast,Cable,No,15,2,,,,39.99,39.99,12,,,89.99,15,,13,,,1,,1928 Pine St,60.48916667
"San Francisco, Xfinity, 60A",San Francisco, CA,94109,San Francisco,Comcast,Cable,No,60,5,,,,29.99,29.99,12,,,89.99,15,,13,,,12,,1928 Pine St,50.48916667
"San Francisco, Xfinity, 60B",San Francisco, CA,94109,San Francisco,Comcast,Cable,No,60,5,,,,49.99,49.99,12,,,89.99,15,,13,,,1,,1928 Pine St,70.48916667
"Seattle, CenturyLink, 12",Seattle, WA,98102,King,CenturyLink,ADSL,No,12,,,,,45,45,,,,99,0,,10,,100,1,1,505 11th Ave E,63.25
"Seattle, Wave, 10",Seattle, WA,98122,King,WaveDivision Holdings,Cable,No,10,1,100,,42.95,29.95,42.95,12,,,60,,2,13,,,1,1,910 13th Ave,62.95
"Seattle, Wave, 100",Seattle, WA,98122,King,WaveDivision Holdings,Cable,No,100,5,400,,69.95,39.95,69.95,12,,,60,,2,13,,,1,1,910 13th Ave,89.95
"Seattle, WaveG, 100",Seattle, WA,98121,King,WaveDivision Holdings,Fiber,No,100,100,2000,Throttling,60,,60,,,,,,13,,,,1,1,2300 Elliot Ave,73
"Seattle, Xfinity, 150A",Seattle, WA,98109,King,Comcast,Cable,No,150,5,1000,10,,44.99,44.99,12,,,89.99,14.99,,13,,,12,,104 Taylor Ave,65.48916667
"Seattle, Xfinity, 150B",Seattle, WA,98109,King,Comcast,Cable,No,150,5,1000,10,,64.99,64.99,12,,,89.99,14.99,,13,,,1,,105 Taylor Ave,85.48916667
