Plan,City,State,Zip_code,County,ISP,Network_ tech,Municipal_network,Download_speed_Mbps,Upload_speed_Mbps,Cost_per_download Mbps,Data_cap_GB,Data_overage_penalty_per_50GB,Price,Term _months,Autopay_/_paperless_discount,Activation_fee,Installation_fee,Self_install_ fee,Router_rental_monthly,Modem_rental_monthly,Ttl_rental_costs,router_purchase_cost,Modem_purchase_cost,Ttl_purch_costs,requirement_months,Termination_fee,Address_used
"Washington, RCN, 1000",Washington, DC,20017,District Of Columbia,Radiate Holdings,Cable,No,1000,20,20,,,49.99,12,,9.99,49.95,,Included in modem fee,10,#VALUE!,,,0,1,,1350 Jackson St NE
"Washington, RCN, 155",Washington, DC,20017,District Of Columbia,Radiate Holdings,Cable,No,155,15,5.17,,,29.99,12,,9.99,49.95,,Included in modem fee,10,#VALUE!,,,0,1,,1350 Jackson St NE
"Washington, RCN, 330",Washington, DC,20017,District Of Columbia,Radiate Holdings,Cable,No,330,20,9.43,,,34.99,12,,9.99,49.95,,Included in modem fee,10,#VALUE!,,,0,1,,1350 Jackson St NE
"Washington, Xfinity, 1000A",Washington, DC,20017,District Of Columbia,Comcast,Cable,No,1000,35,12.5,,,79.99,36,,,29.99,14.99,,13,13,,,0,24,,1350 Jackson St NE
"Washington, Xfinity, 1000B",Washington, DC,20017,District Of Columbia,Comcast,Cable,No,1000,35,11.11,,,89.99,12,,,29.99,14.99,,13,13,,,0,1,,1350 Jackson St NE
"Washington, Xfinity, 15",Washington, DC,20017,District Of Columbia,Comcast,Cable,No,15,2,0.3,,,49.95,,,,29.99,14.99,,13,13,,,0,1,,1350 Jackson St NE
"Washington, Xfinity, 150",Washington, DC,20017,District Of Columbia,Comcast,Cable,No,150,5,3.75,,,39.99,12,,,29.99,14.99,,13,13,,,0,1,,1350 Jackson St NE
"Washington, Xfinity, 2000",Washington, DC,20017,District Of Columbia,Comcast,Cable,No,2000,2000,6.67,,,299.95,24,,,29.99,14.99,,13,13,,,0,24,,1350 Jackson St NE
"Washington, Xfinity, 250",Washington, DC,20017,District Of Columbia,Comcast,Cable,No,250,10,4.17,,,59.99,24,,,29.99,14.99,,13,13,,,0,12,,1350 Jackson St NE
"Washington, Xfinity, 400A",Washington, DC,20017,District Of Columbia,Comcast,Cable,No,400,10,5.72,,,69.99,24,,,29.99,14.99,,13,13,,,0,12,,1350 Jackson St NE
"Washington, Xfinity, 400B",Washington, DC,20017,District Of Columbia,Comcast,Cable,No,400,10,5,,,79.99,12,,,29.99,14.99,,13,13,,,0,1,,1350 Jackson St NE
"Washington, Xfinity, 60",Washington, DC,20017,District Of Columbia,Comcast,Cable,No,60,5,2,,,29.99,12,,,29.99,14.99,,13,13,,,0,1,,1350 Jackson St NE
"Wilson, CenturyLink, 20",Wilson, NC,27893,Wilson,CenturyLink,ADSL,No,20,,0.4,,,50,,,,125,,5,15,20,,150,150,1,,Not applicable
"Wilson, Greenlight 100",Wilson, NC,,Wilson,Greenlight,Fiber,Yes,100,100,1.25,,,79.95,,,,,,,,0,,,0,,,Not applicable
"Wilson, Greenlight, 1000",Wilson, NC,,Wilson,Greenlight,Fiber,Yes,1000,1000,10.01,,,99.95,,,,,,,,0,,,0,,,Not applicable
"Wilson, Greenlight, 50",Wilson, NC,,Wilson,Greenlight,Fiber,Yes,50,50,1.25,,,39.95,,,,,,,,0,,,0,,,Not applicable
"Wilson, Greenlight, 75",Wilson, NC,,Wilson,Greenlight,Fiber,Yes,75,75,1.25,,,59.95,,,,,,,,0,,,0,,,Not applicable
"Wilson, Spectrum, 200",Wilson, NC,27893,Wilson,Charter,Cable,No,200,10,4.45,,,44.99,,,,49.99,9.99,5,0,5,,,0,1,,311 Pender St SE
"Wilson, Spectrum, 400",Wilson, NC,27893,Wilson,Charter,Cable,No,400,20,4.4,,,90.99,,,,49.99,9.99,5,0,5,,,0,1,,311 Pender St SE
"Wilson, Spectrum, 940",Wilson, NC,27893,Wilson,Charter,Cable,No,940,35,7.46,,,125.99,,,,49.99,9.99,0,0,0,,,0,1,,311 Pender St SE
AT&T Houston,Houston,TX,77002,Harris,AT&T Internet,Fiber,No,75,5,1.36,1000,10,55,12,,,99,,,10,10,,,0,12,180,308 Main St
Xfiniti Houston,Houston,TX,77002,Harris,Xfiniti,Fiber,No,25,5,0.32,,,77.99,12,,,,,,,0,,,0,12,,308 Main St
Hughesnet Houston,Houston,TX,77002,Harris,Hughesnet,Satellite,No,25,5,0.36,,,69.99,,,,,,,,0,,,0,24,,308 Main St
