Geography,State,Average_Weekly_Wage,Geo_loc
Milam County, Texas,800,
Mills County, Texas,666,
Mitchell County, Texas,991,
Montague County, Texas,839,
Montgomery County, Texas,"1,267",
Moore County, Texas,983,
Morris County, Texas,"1,044",
Motley County, Texas,634,
Nacogdoches County, Texas,735,
Navarro County, Texas,760,
Newton County, Texas,818,
Nolan County, Texas,879,
Nueces County, Texas,979,
Ochiltree County, Texas,965,
Oldham County, Texas,862,
Orange County, Texas,"1,150",
Palo Pinto County, Texas,904,
Panola County, Texas,953,
Parker County, Texas,873,
Parmer County, Texas,880,
Pecos County, Texas,"1,138",
Polk County, Texas,779,
Potter County, Texas,885,
Presidio County, Texas,607,
Rains County, Texas,641,
Randall County, Texas,920,
Reagan County, Texas,"1,552",
Real County, Texas,490,
Red River County, Texas,779,
Reeves County, Texas,"1,392",
Refugio County, Texas,829,
Roberts County, Texas,"1,554",
Robertson County, Texas,938,
Rockwall County, Texas,809,
Runnels County, Texas,712,
Rusk County, Texas,884,
Sabine County, Texas,754,
San Augustine County, Texas,773,
San Jacinto County, Texas,630,
San Patricio County, Texas,963,
San Saba County, Texas,831,
Schleicher County, Texas,"1,100",
Scurry County, Texas,"1,277",
Shackelford County, Texas,"1,096",
Shelby County, Texas,767,
Sherman County, Texas,855,
Smith County, Texas,893,
Somervell County, Texas,"1,621",
Starr County, Texas,446,
Stephens County, Texas,698,
Sterling County, Texas,"1,082",
Stonewall County, Texas,741,
Sutton County, Texas,"1,494",
Swisher County, Texas,687,
Tarrant County, Texas,"1,180",
Taylor County, Texas,837,
Terrell County, Texas,508,
Terry County, Texas,933,
Throckmorton County, Texas,633,
Titus County, Texas,716,
Tom Green County, Texas,860,
Travis County, Texas,"1,502",
Trinity County, Texas,660,
Tyler County, Texas,667,
Upshur County, Texas,744,
Upton County, Texas,"2,055",
Uvalde County, Texas,629,
Val Verde County, Texas,605,
Van Zandt County, Texas,686,
Victoria County, Texas,905,
Walker County, Texas,671,
Waller County, Texas,897,
Ward County, Texas,"1,305",
Washington County, Texas,801,
Webb County, Texas,635,
Wharton County, Texas,853,
Wheeler County, Texas,965,
Wichita County, Texas,791,
Wilbarger County, Texas,772,
Willacy County, Texas,715,
Williamson County, Texas,"1,409",
Wilson County, Texas,797,
Winkler County, Texas,"1,568",
Wise County, Texas,938,
Wood County, Texas,744,
Yoakum County, Texas,"1,747",
Young County, Texas,876,
Zapata County, Texas,984,
Zavala County, Texas,876,
Beaver County, Utah,634,
Box Elder County, Utah,796,
Cache County, Utah,745,
Carbon County, Utah,973,
Daggett County, Utah,729,
Davis County, Utah,891,
Duchesne County, Utah,"1,008",
Emery County, Utah,928,
Garfield County, Utah,678,
Grand County, Utah,622,
Iron County, Utah,622,
Juab County, Utah,745,
Kane County, Utah,604,
Millard County, Utah,826,
Morgan County, Utah,"1,011",
Piute County, Utah,557,
Rich County, Utah,517,
Salt Lake County, Utah,"1,203",
San Juan County, Utah,706,
Sanpete County, Utah,621,
Sevier County, Utah,723,
Summit County, Utah,926,
Tooele County, Utah,759,
Uintah County, Utah,847,
Utah County, Utah,"1,025",
Wasatch County, Utah,853,
Washington County, Utah,739,
Wayne County, Utah,619,
Weber County, Utah,855,
Addison County, Vermont,"1,004",
Bennington County, Vermont,839,
Caledonia County, Vermont,810,
Chittenden County, Vermont,"1,134",
Essex County, Vermont,636,
Franklin County, Vermont,900,
Grand Isle County, Vermont,789,
Lamoille County, Vermont,788,
Orange County, Vermont,823,
Orleans County, Vermont,730,
Rutland County, Vermont,957,
Washington County, Vermont,"1,026",
Windham County, Vermont,840,
Windsor County, Vermont,857,
Unknown Or Undefined, Vermont,708,
Accomack County, Virginia,764,
Albemarle County, Virginia,999,
Alleghany County, Virginia,706,
Amelia County, Virginia,699,
Amherst County, Virginia,757,
Appomattox County, Virginia,570,
Arlington County, Virginia,"2,055",
Augusta County, Virginia,911,
Bath County, Virginia,867,
Bedford County, Virginia,759,
Bland County, Virginia,991,
Botetourt County, Virginia,861,
Brunswick County, Virginia,677,
Buchanan County, Virginia,"1,040",
Buckingham County, Virginia,732,
Campbell County, Virginia,"1,053",
Caroline County, Virginia,704,
Carroll County, Virginia,568,
Charles City County, Virginia,905,
Charlotte County, Virginia,680,
Chesterfield County, Virginia,972,
Clarke County, Virginia,882,
Craig County, Virginia,724,
Culpeper County, Virginia,833,
Cumberland County, Virginia,603,
Dickenson County, Virginia,858,
Dinwiddie County, Virginia,"1,011",
Essex County, Virginia,667,
Fairfax County, Virginia,"1,985",
Fauquier County, Virginia,"1,002",
Floyd County, Virginia,558,
Fluvanna County, Virginia,810,
Franklin County, Virginia,642,
Frederick County, Virginia,981,
Giles County, Virginia,856,
Gloucester County, Virginia,645,
Goochland County, Virginia,"2,878",
Grayson County, Virginia,538,
Greene County, Virginia,661,
Greensville County, Virginia,955,
Halifax County, Virginia,759,
Hanover County, Virginia,863,
Henrico County, Virginia,"1,215",
Henry County, Virginia,656,
Highland County, Virginia,598,
Isle of Wight County, Virginia,"1,329",
James City County, Virginia,851,
King and Queen County, Virginia,775,
King George County, Virginia,"1,093",
King William County, Virginia,905,
Lancaster County, Virginia,708,
Lee County, Virginia,577,
Loudoun County, Virginia,"1,384",
Louisa County, Virginia,"1,009",
Lunenburg County, Virginia,673,
Madison County, Virginia,704,
Mathews County, Virginia,517,
Mecklenburg County, Virginia,687,
Middlesex County, Virginia,630,
Montgomery County, Virginia,844,
Nelson County, Virginia,701,
New Kent County, Virginia,749,
Northampton County, Virginia,559,
Northumberland County, Virginia,901,
Nottoway County, Virginia,631,
Orange County, Virginia,781,
Page County, Virginia,648,
Patrick County, Virginia,550,
Pittsylvania County, Virginia,717,
Powhatan County, Virginia,760,
Prince Edward County, Virginia,670,
Prince George County, Virginia,883,
Prince William County, Virginia,914,
Pulaski County, Virginia,807,
Rappahannock County, Virginia,715,
Richmond County, Virginia,775,
Roanoke County, Virginia,851,
Rockbridge County, Virginia,618,
Rockingham County, Virginia,916,
Russell County, Virginia,796,
Scott County, Virginia,628,
Shenandoah County, Virginia,799,
Smyth County, Virginia,691,
Southampton County, Virginia,731,
Spotsylvania County, Virginia,822,
Stafford County, Virginia,974,
Surry County, Virginia,"2,084",
Sussex County, Virginia,768,
Tazewell County, Virginia,693,
Warren County, Virginia,771,
Washington County, Virginia,712,
Westmoreland County, Virginia,627,
Wise County, Virginia,614,
Wythe County, Virginia,702,
York County, Virginia,703,
Alexandria City, Virginia,"1,392",
Bristol City, Virginia,681,
Buena Vista City, Virginia,689,
Charlottesville City, Virginia,"1,109",
Chesapeake City, Virginia,896,
Colonial Heights City, Virginia,579,
Covington City, Virginia,"1,019",
Danville City, Virginia,759,
Emporia City, Virginia,605,
Fairfax City, Virginia,"1,131",
Falls Church City, Virginia,"1,225",
Franklin City, Virginia,594,
Fredericksburg City, Virginia,890,
Galax City, Virginia,599,
Hampton City, Virginia,823,
Harrisonburg City, Virginia,785,
Hopewell City, Virginia,"1,127",
Lexington City, Virginia,826,
Lynchburg City, Virginia,885,
Manassas City, Virginia,"1,369",
Manassas Park City, Virginia,926,
Martinsville City, Virginia,664,
Newport News City, Virginia,"1,070",
Norfolk City, Virginia,"1,060",
Norton City, Virginia,749,
Petersburg City, Virginia,764,
Poquoson City, Virginia,598,
Portsmouth City, Virginia,871,
Radford City, Virginia,842,
Richmond City, Virginia,"1,442",
Roanoke City, Virginia,943,
Salem City, Virginia,955,
Staunton City, Virginia,681,
Suffolk City, Virginia,"1,026",
Virginia Beach City, Virginia,855,
Waynesboro City, Virginia,742,
Williamsburg City, Virginia,718,
Winchester City, Virginia,932,
Unknown Or Undefined, Virginia,"1,839",
Adams County, Washington,769,
Asotin County, Washington,759,
Benton County, Washington,"1,117",
Chelan County, Washington,804,
Clallam County, Washington,687,
Clark County, Washington,"1,086",
Columbia County, Washington,846,
Cowlitz County, Washington,"1,039",
Douglas County, Washington,665,
Ferry County, Washington,606,
Franklin County, Washington,813,
Garfield County, Washington,796,
Grant County, Washington,858,
Grays Harbor County, Washington,775,
Island County, Washington,735,
Jefferson County, Washington,690,
King County, Washington,"1,980",
Kitsap County, Washington,883,
Kittitas County, Washington,663,
Klickitat County, Washington,"1,066",
Lewis County, Washington,867,
Lincoln County, Washington,706,
Mason County, Washington,707,
Okanogan County, Washington,591,
Pacific County, Washington,641,
Pend Oreille County, Washington,777,
Pierce County, Washington,"1,011",
San Juan County, Washington,693,
Skagit County, Washington,950,
Skamania County, Washington,648,
Snohomish County, Washington,"1,264",
Spokane County, Washington,956,
Stevens County, Washington,751,
Thurston County, Washington,959,
Wahkiakum County, Washington,680,
Walla Walla County, Washington,847,
Whatcom County, Washington,948,
Whitman County, Washington,872,
Yakima County, Washington,772,
Unknown Or Undefined, Washington,"2,020",
Barbour County, West Virginia,846,
Berkeley County, West Virginia,776,
Boone County, West Virginia,876,
Braxton County, West Virginia,710,
Brooke County, West Virginia,839,
Cabell County, West Virginia,851,
Calhoun County, West Virginia,784,
Clay County, West Virginia,513,
Doddridge County, West Virginia,"1,305",
Fayette County, West Virginia,733,
Gilmer County, West Virginia,584,
Grant County, West Virginia,798,
Greenbrier County, West Virginia,676,
Hampshire County, West Virginia,620,
Hancock County, West Virginia,816,
Hardy County, West Virginia,688,
Harrison County, West Virginia,938,
Jackson County, West Virginia,874,
Jefferson County, West Virginia,829,
Kanawha County, West Virginia,993,
Lewis County, West Virginia,943,
Lincoln County, West Virginia,592,
Logan County, West Virginia,848,
McDowell County, West Virginia,896,
Marion County, West Virginia,868,
Marshall County, West Virginia,"1,231",
Mason County, West Virginia,"1,034",
Mercer County, West Virginia,723,
Mineral County, West Virginia,878,
Mingo County, West Virginia,875,
Monongalia County, West Virginia,"1,061",
Monroe County, West Virginia,727,
Morgan County, West Virginia,674,
Nicholas County, West Virginia,689,
Ohio County, West Virginia,834,
Pendleton County, West Virginia,584,
Pleasants County, West Virginia,"1,039",
Pocahontas County, West Virginia,578,
Preston County, West Virginia,684,
Putnam County, West Virginia,"1,015",
Raleigh County, West Virginia,775,
Randolph County, West Virginia,686,
Ritchie County, West Virginia,837,
Roane County, West Virginia,725,
Summers County, West Virginia,695,
Taylor County, West Virginia,"1,053",
Tucker County, West Virginia,665,
Tyler County, West Virginia,942,
Upshur County, West Virginia,788,
Wayne County, West Virginia,815,
Webster County, West Virginia,679,
Wetzel County, West Virginia,686,
Wirt County, West Virginia,489,
Wood County, West Virginia,798,
Wyoming County, West Virginia,854,
Unknown Or Undefined, West Virginia,"1,273",
Adams County, Wisconsin,753,
Ashland County, Wisconsin,790,
Barron County, Wisconsin,742,
Bayfield County, Wisconsin,604,
Brown County, Wisconsin,"1,038",
Buffalo County, Wisconsin,794,
Burnett County, Wisconsin,683,
Calumet County, Wisconsin,800,
Chippewa County, Wisconsin,827,
Clark County, Wisconsin,755,
Columbia County, Wisconsin,850,
Crawford County, Wisconsin,706,
Dane County, Wisconsin,"1,179",
Dodge County, Wisconsin,939,
Door County, Wisconsin,718,
Douglas County, Wisconsin,820,
Dunn County, Wisconsin,780,
Eau Claire County, Wisconsin,942,
Florence County, Wisconsin,466,
Fond du Lac County, Wisconsin,923,
Forest County, Wisconsin,619,
Grant County, Wisconsin,698,
Green County, Wisconsin,803,
Green Lake County, Wisconsin,764,
Iowa County, Wisconsin,"1,033",
Iron County, Wisconsin,548,
Jackson County, Wisconsin,828,
Jefferson County, Wisconsin,845,
Juneau County, Wisconsin,785,
Kenosha County, Wisconsin,821,
Kewaunee County, Wisconsin,789,
La Crosse County, Wisconsin,911,
Lafayette County, Wisconsin,749,
Langlade County, Wisconsin,693,
Lincoln County, Wisconsin,897,
Manitowoc County, Wisconsin,860,
Marathon County, Wisconsin,935,
Marinette County, Wisconsin,800,
Marquette County, Wisconsin,842,
Menominee County, Wisconsin,221,
Milwaukee County, Wisconsin,"1,135",
Monroe County, Wisconsin,785,
Oconto County, Wisconsin,710,
Oneida County, Wisconsin,833,
Outagamie County, Wisconsin,958,
Ozaukee County, Wisconsin,939,
Pepin County, Wisconsin,789,
Pierce County, Wisconsin,739,
Polk County, Wisconsin,742,
Portage County, Wisconsin,935,
Price County, Wisconsin,752,
Racine County, Wisconsin,957,
Richland County, Wisconsin,703,
Rock County, Wisconsin,987,
Rusk County, Wisconsin,707,
St. Croix County, Wisconsin,859,
Sauk County, Wisconsin,794,
Sawyer County, Wisconsin,716,
Shawano County, Wisconsin,664,
Sheboygan County, Wisconsin,"1,036",
Taylor County, Wisconsin,787,
Trempealeau County, Wisconsin,834,
Vernon County, Wisconsin,769,
Vilas County, Wisconsin,635,
Walworth County, Wisconsin,749,
Washburn County, Wisconsin,699,
Washington County, Wisconsin,925,
Waukesha County, Wisconsin,"1,184",
Waupaca County, Wisconsin,731,
Waushara County, Wisconsin,676,
Winnebago County, Wisconsin,"1,069",
Wood County, Wisconsin,921,
Unknown Or Undefined, Wisconsin,"1,561",
Albany County, Wyoming,706,
Big Horn County, Wyoming,783,
Campbell County, Wyoming,"1,153",
Carbon County, Wyoming,"1,110",
Converse County, Wyoming,"1,132",
Crook County, Wyoming,916,
Fremont County, Wyoming,786,
Goshen County, Wyoming,721,
Hot Springs County, Wyoming,634,
Johnson County, Wyoming,687,
Laramie County, Wyoming,877,
Lincoln County, Wyoming,992,
Natrona County, Wyoming,966,
Park County, Wyoming,784,
Platte County, Wyoming,872,
Sheridan County, Wyoming,746,
Sublette County, Wyoming,"1,186",
Sweetwater County, Wyoming,"1,217",
Teton County, Wyoming,984,
Uinta County, Wyoming,825,
Washakie County, Wyoming,857,
Weston County, Wyoming,829,
Adjuntas Municipio, Puerto Rico,282,
Aguada Municipio, Puerto Rico,284,
Aguadilla Municipio, Puerto Rico,551,
Aguas Buenas Municipio, Puerto Rico,360,
Aibonito Municipio, Puerto Rico,496,
A¤asco Municipio, Puerto Rico,634,
Arecibo Municipio, Puerto Rico,447,
Arroyo Municipio, Puerto Rico,649,
Barceloneta Municipio, Puerto Rico,653,
Barranquitas Municipio, Puerto Rico,341,
Bayam¢n Municipio, Puerto Rico,465,
Cabo Rojo Municipio, Puerto Rico,288,
Caguas Municipio, Puerto Rico,521,
Camuy Municipio, Puerto Rico,323,
Can¢vanas Municipio, Puerto Rico,475,
Carolina Municipio, Puerto Rico,506,
Cata¤o Municipio, Puerto Rico,610,
Cayey Municipio, Puerto Rico,487,
Ceiba Municipio, Puerto Rico,439,
Ciales Municipio, Puerto Rico,286,
Cidra Municipio, Puerto Rico,507,
Coamo Municipio, Puerto Rico,357,
Comer¡o Municipio, Puerto Rico,371,
Corozal Municipio, Puerto Rico,315,
Dorado Municipio, Puerto Rico,549,
Fajardo Municipio, Puerto Rico,475,
Florida Municipio, Puerto Rico,356,
Gu nica Municipio, Puerto Rico,262,
Guayama Municipio, Puerto Rico,498,
Guayanilla Municipio, Puerto Rico,342,
Guaynabo Municipio, Puerto Rico,699,
Gurabo Municipio, Puerto Rico,670,
Hatillo Municipio, Puerto Rico,339,
Hormigueros Municipio, Puerto Rico,336,
Humacao Municipio, Puerto Rico,527,
Isabela Municipio, Puerto Rico,402,
Jayuya Municipio, Puerto Rico,607,
Juana D¡az Municipio, Puerto Rico,532,
Juncos Municipio, Puerto Rico,"1,292",
Lajas Municipio, Puerto Rico,282,
Lares Municipio, Puerto Rico,312,
Las Mar¡as Municipio, Puerto Rico,232,
Las Piedras Municipio, Puerto Rico,654,
Lo¡za Municipio, Puerto Rico,550,
Luquillo Municipio, Puerto Rico,385,
Manat¡ Municipio, Puerto Rico,651,
Maricao Municipio, Puerto Rico,492,
Maunabo Municipio, Puerto Rico,387,
Mayagez Municipio, Puerto Rico,407,
Moca Municipio, Puerto Rico,297,
Morovis Municipio, Puerto Rico,334,
Naguabo Municipio, Puerto Rico,378,
Naranjito Municipio, Puerto Rico,398,
Orocovis Municipio, Puerto Rico,291,
Patillas Municipio, Puerto Rico,441,
Pe¤uelas Municipio, Puerto Rico,475,
Ponce Municipio, Puerto Rico,426,
Quebradillas Municipio, Puerto Rico,275,
Rinc¢n Municipio, Puerto Rico,355,
R¡o Grande Municipio, Puerto Rico,452,
Sabana Grande Municipio, Puerto Rico,347,
Salinas Municipio, Puerto Rico,434,
San Germ n Municipio, Puerto Rico,409,
San Juan Municipio, Puerto Rico,622,
San Lorenzo Municipio, Puerto Rico,372,
San Sebasti n Municipio, Puerto Rico,282,
Santa Isabel Municipio, Puerto Rico,411,
Toa Alta Municipio, Puerto Rico,381,
Toa Baja Municipio, Puerto Rico,440,
Trujillo Alto Municipio, Puerto Rico,330,
Utuado Municipio, Puerto Rico,291,
Vega Alta Municipio, Puerto Rico,457,
Vega Baja Municipio, Puerto Rico,528,
Vieques Municipio, Puerto Rico,344,
Villalba Municipio, Puerto Rico,489,
Yabucoa Municipio, Puerto Rico,366,
Yauco Municipio, Puerto Rico,355,
