Geography,2020_Year_Wage,2019_Year_Wage,2018_Year_Wage
"Benton County, Missouri",30264.0,28296.0,30504.0
"Benton County, Oregon",49504.0,49236.0,37248.0
"Benton County, Tennessee",33644.0,32532.0,35832.0
"Benton County, Washington",58084.0,52788.0,40812.0
"Benzie County, Michigan",40560.0,32040.0,37536.0
"Bergen County, New Jersey",71500.0,61908.0,48048.0
"Berkeley County, South Carolina",58552.0,49104.0,39576.0
"Berkeley County, West Virginia",40352.0,40368.0,38292.0
"Berks County, Pennsylvania",53092.0,47232.0,37620.0
"Berkshire County, Massachusetts",49192.0,44448.0,44520.0
"Bernalillo County, New Mexico",48360.0,45360.0,42348.0
"Berrien County, Georgia",37440.0,31968.0,31200.0
"Berrien County, Michigan",57720.0,45588.0,35784.0
"Bertie County, North Carolina",31824.0,31368.0,33828.0
"Bethel Census Area, Alaska",53664.0,41904.0,40344.0
"Bexar County, Texas",54496.0,48516.0,44976.0
"Bibb County, Alabama",47632.0,39624.0,36984.0
"Bibb County, Georgia",46800.0,41268.0,33516.0
"Bienville Parish, Louisiana",41236.0,36276.0,36792.0
"Big Horn County, Montana",47320.0,43308.0,35676.0
"Big Horn County, Wyoming",40716.0,37848.0,37764.0
"Big Stone County, Minnesota",33800.0,35916.0,38124.0
"Billings County, North Dakota",45916.0,40668.0,38328.0
"Bingham County, Idaho",37544.0,33888.0,36012.0
"Black Hawk County, Iowa",48048.0,44772.0,42216.0
"Blackford County, Indiana",38740.0,33648.0,36240.0
"Bladen County, North Carolina",39468.0,33984.0,32160.0
"Blaine County, Idaho",41756.0,40368.0,34260.0
"Blaine County, Montana",28600.0,33144.0,38760.0
"Blaine County, Nebraska",35464.0,33672.0,34284.0
"Blaine County, Oklahoma",46280.0,42036.0,44820.0
"Blair County, Pennsylvania",41964.0,39768.0,44112.0
"Blanco County, Texas",49972.0,45792.0,46020.0
"Bland County, Virginia",51532.0,41184.0,36276.0
"Bleckley County, Georgia",27352.0,29328.0,36864.0
"Bledsoe County, Tennessee",32188.0,33264.0,31140.0
"Blount County, Alabama",35724.0,33108.0,32880.0
"Blount County, Tennessee",48828.0,43740.0,35112.0
"Blue Earth County, Minnesota",44460.0,41940.0,37764.0
"Boise County, Idaho",21840.0,25908.0,35460.0
"Bolivar County, Mississippi",38168.0,33864.0,34152.0
"Bollinger County, Missouri",32812.0,27684.0,27672.0
"Bon Homme County, South Dakota",34580.0,32952.0,31272.0
"Bond County, Illinois",42640.0,38592.0,35916.0
"Bonner County, Idaho",36400.0,34332.0,28920.0
"Bonneville County, Idaho",40248.0,36684.0,34896.0
"Boone County, Arkansas",38480.0,36432.0,35988.0
"Boone County, Illinois",47632.0,45516.0,40632.0
"Boone County, Indiana",44304.0,40908.0,34932.0
"Boone County, Iowa",42016.0,38532.0,39120.0
"Boone County, Kentucky",49504.0,44808.0,34704.0
"Boone County, Missouri",43212.0,43212.0,30408.0
"Boone County, Nebraska",38584.0,36336.0,32688.0
"Boone County, West Virginia",45552.0,41076.0,39708.0
"Borden County, Texas",41132.0,38532.0,42336.0
"Bosque County, Texas",46332.0,38436.0,35460.0
"Bossier Parish, Louisiana",39936.0,38388.0,35832.0
"Botetourt County, Virginia",44772.0,39264.0,39936.0
"Bottineau County, North Dakota",43784.0,42300.0,40212.0
"Boulder County, Colorado",77792.0,68256.0,62448.0
"Boundary County, Idaho",36660.0,35796.0,34656.0
"Bourbon County, Kansas",37544.0,32508.0,34296.0
"Bourbon County, Kentucky",44252.0,39444.0,41916.0
"Bowie County, Texas",38688.0,37908.0,35748.0
"Bowman County, North Dakota",44408.0,44772.0,40080.0
"Box Butte County, Nebraska",34736.0,34764.0,34236.0
"Box Elder County, Utah",41392.0,37284.0,33384.0
"Boyd County, Kentucky",50180.0,44940.0,40080.0
"Boyd County, Nebraska",57720.0,32964.0,32004.0
"Boyle County, Kentucky",41756.0,38328.0,41244.0
"Bracken County, Kentucky",38948.0,33180.0,36612.0
"Bradford County, Florida",37336.0,34740.0,37368.0
"Bradford County, Pennsylvania",51844.0,45756.0,40008.0
"Bradley County, Arkansas",36868.0,33540.0,32184.0
"Bradley County, Tennessee",43420.0,39348.0,42192.0
